Interpret;Titel;Länge
Elvis Presley;Tomorrow Night;03:02
Elvis Presley;I´ll Never Let You Go (Litlle Darlin´);02:28
Elvis Presley;I'm Left,You're Right,She's Gone;02:43
Elvis Presley;My Way;03:50
Elvis Presley;Teddy Bear;01:47
Elvis Presley;King Creole;02:09
Elvis Presley;The Girl Of My Best Friend;02:23
Elvis Presley;Lonesome Tonight;03:08
Elvis Presley;Wooden Heart;02:02
Elvis Presley;His Latest Flame;02:04
Elvis Presley;Good Luck Charm;02:23
Elvis Presley;She's Not You;02:09
Elvis Presley;Return To Sender;02:06
Elvis Presley;You're The Devil In Disguise;02:20
Elvis Presley;An American Trilogy;04:22
Elvis Presley;Always On My Mind;03:28
Elvis Presley;Moody Blue;02:54
Elvis Presley;Wearin' That Loved On Look;02:48
Elvis Presley;Only The Strong Survive;02:44
Elvis Presley;I'll Hold You In My Heart (Till I Can Hold You In My Arms);04:35
Elvis Presley;Long Black Limousine;03:45
Elvis Presley;It Keeps Right On A-Hurtin';02:40
Elvis Presley;I'm Movin' On;02:56
Elvis Presley;Power Of My Love;02:40
Elvis Presley;Gentle On My Mind;03:25
Elvis Presley;After Loving You;03:08
Elvis Presley;True Love Travels On A Gravel Road;02:41
Elvis Presley;I`ll Be There;02:28
Elvis Presley;Hey Jude;04:34
Elvis Presley;If I'm A Fool (For Loving You);02:47
Elvis Presley;Who Am I?;03:18
Elvis Presley;Inherit The Wind;03:00
Elvis Presley;A Little Bit Of Green;03:26
Elvis Presley;And The Grass Won't Pay No Mind;03:13
Elvis Presley;Do You Know Who I Am;02:53
Elvis Presley;This Is The Story;02:32
Elvis Presley;Stranger In My Own Home Town;04:27
Elvis Presley;From A Jack To A King;02:28
Elvis Presley;Without Love (There Is Nothing);02:57
Elvis Presley;Any Day Now;03:00
Elvis Presley;The Fair Is Moving On;03:13
Elvis Presley;Don't Cry Daddy;02:48
Elvis Presley;Rubberneckin';02:15
Elvis Presley;My Little Friend;02:47
Elvis Presley;All That I Am;02:16
Elvis Presley;Burning Love;03:04
Elvis Presley;I Was The One;02:35
Elvis Presley;Any Way You Want Me;02:15
Elvis Presley;You'll Never Walk Alone;02:43
Elvis Presley;Raised On Rock;02:41
Elvis Presley;There Goes My Everything;03:02
Elvis Presley;Follow That Dream;01:38
Elvis Presley;Spanish Eyes;02:23
Elvis Presley;(You're The) Devil In Disguise;02:22
Elvis Presley;The Last Farewell;04:04
Elvis Presley;And I Love You So;03:41
Elvis Presley;Ask Me;02:08
Elvis Presley;I Gotta Know;02:16
Elvis Presley;It's Now Or Never;03:15
Elvis Presley;Surrender;01:53
Elvis Presley;Sentimental Me;02:33
Elvis Presley;She Wears My Ring;03:23
Elvis Presley;The Wonder Of You;02:36
Elvis Presley;Suspicion;02:34
Elvis Presley;Viva Las Vegas;02:23
Elvis Presley;For The Good Times;03:09
Elvis Presley;My Wish Came True;02:35
Elvis Presley;Are You Lonesome Tonight?;03:08
Elvis Presley;Flaming Star;02:26
Elvis Presley;Blue Hawaii;02:35
Elvis Presley;Edge Of Reality;03:40
Elvis Presley;Crying In The Chapel;02:26
Elvis Presley;Such A Night;03:01
Elvis Presley;You Don't Have To Say You Love Me;02:31
Elvis Presley;Mary In The Morning;04:12
Elvis Presley;Rags To Riches;01:57
Elvis Presley;I Want You, I Need You, I Love You;02:41
Elvis Presley;Help Me Make It Through The Night;02:47
Elvis Presley;I'm Leavin';03:52
Elvis Presley;Green, Green Grass Of Home;03:37
Elvis Presley;(Now And Then There's) A Fool Such As I;02:38
Elvis Presley;Fever;03:33
Elvis Presley;It's Impossible;02:56
Elvis Presley;Lonely Man;02:45
Elvis Presley;Until It's Time For You To Go;02:36
Elvis Presley;Hawaiian Wedding Song;02:49
Elvis Presley;I'll Remember You;02:31
Elvis Presley;Danny Boy;03:57
Elvis Presley;You Gave Me A Mountain;03:16
Elvis Presley;It Hurts Me;02:29
Elvis Presley;Tell Me Why;02:05
Elvis Presley;He'll Have to Go;04:31
Elvis Presley;Don't Cry Daddy (Live at International Hotel Las Vegas, NV, February 18, 1970, Dinner Show);02:38
Elvis Presley;You'll Think of Me;03:59
Elvis Presley;Kentucky Rain;03:13
Elvis Presley;Blue Moon;02:43
Elvis Presley;Love Me;02:45
Elvis Presley;Long Tall Sally;01:54
Elvis Presley;First In Line;03:24
Elvis Presley;Ready Teady;01:58
Elvis Presley;Anyplace Is Paradise;02:28
Elvis Presley;How's The World Treating You?;02:25
Elvis Presley;How Do You Think I Feel?;02:13
Elvis Presley;One Night;02:31
Elvis Presley;I Got Stung;01:51
Elvis Presley;If I Can Dream (New Sound Remastered);03:10
Elvis Presley;Let Me Be Your;01:50
Elvis Presley;Don't Be Cruel;02:07
Elvis Presley;Thats When Your Heartaches Begin;03:25
Elvis Presley;I Dont Care If The Sun Dont Shine;02:33
Elvis Presley;So Glad Your Mine;02:25
Elvis Presley;Just Because;02:37
Elvis Presley;Loving You;02:16
Elvis Presley;It Is So Strange;02:33
Elvis Presley;Lonesome Cowboy;03:05
Elvis Presley;Young And Beautiful;02:07
Elvis Presley;Let Me;02:13
Elvis Presley;True Love;02:09
Elvis Presley;Peace In The Valley;03:25
Elvis Presley;Take My Hand Precious Lord;03:21
Elvis Presley;It Is No Secret;03:53
Elvis Presley;Blue Moon Of Kentucky;02:05
Elvis Presley;I Love You Because;02:46
Elvis Presley;I Forgot To Remember To Forget;02:29
Elvis Presley;Good Rockin' Tonight;02:17
Elvis Presley;Life;03:15
Elvis Presley;I Miss You;02:14
Elvis Presley;Viva Las Vegas;02:26
Elvis Presley;CC Rider;02:35
Elvis Presley;The Wonder of You;02:38
Elvis Presley;Polk Salad Annie;04:51
Elvis Presley;Release Me;03:04
Elvis Presley;Let it Be Me;03:30
Elvis Presley;Proud Mary;02:34
Elvis Presley;I Just Can't Help Believin';04:37
Elvis Presley;Walk a Mile in My Shoes;02:59
Elvis Presley;Bridge Over Troubled Water;04:11
Elvis Presley;Patch It Up;04:02
Elvis Presley;I've Lost You;03:43
Elvis Presley;You've Lost That Lovin' Feeling;04:24
Elvis Presley;Never Been To Spain;03:27
Elvis Presley;It's Over;02:22
Elvis Presley;The Impossible Dream;02:27
Elvis Presley;Runaway;02:17
Elvis Presley;Blue Suede Shoes;01:58
Elvis Presley;I Got A Woman;02:44
Elvis Presley;All Shook Up;02:44
Elvis Presley;Jailhouse Rock / Don't Be Cruel;02:32
Elvis Presley;Heartbreak Hotel;02:20
Elvis Presley;Memories;03:05
Elvis Presley;Mystery Train / Tiger Man;04:21
Elvis Presley;Monologue / Lifestory;09:08
Elvis Presley;Baby What You Want Me To Do;02:38
Elvis Presley;Yesterday / Hey Jude;04:44
Elvis Presley;Introductions;02:13
Elvis Presley;In The Ghetto;02:56
Elvis Presley;Suspicious Minds;08:08
Elvis Presley;What'd I Say;04:07
Elvis Presley;Can't Help Falling In Love;02:03
Elvis vs Jxl;A LITTLE LESS CONVERSATION;06:22
Ely Guerra;Dime Cuando Comenzo El Dolor;04:43
emf;unbelievable;03:30
"Emil & Elena Gilels; Vienna Philharmonic Orchestra";Concerto for 2 pianos and Orchestra E flat major, KV 365 (316a): Allegro;10:28
"Emil & Elena Gilels; Vienna Philharmonic Orchestra";Andante;08:16
"Emil & Elena Gilels; Vienna Philharmonic Orchestra";Rondeaux. Allegro;07:10
Emil Bulls;Take On Me;03:36
Emil Gilels and the Vienna Philharmonic Orchestra;Concerto for Piano and Orchestra Nr. 27 B-dur KV 595: Allegro;14:32
Emil Gilels and the Vienna Philharmonic Orchestra;Larghetto;08:59
Emil Gilels and the Vienna Philharmonic Orchestra;Allegro;09:28
"Emil Gilels, Elena Gilels; Karl Böhm: Vienna Philharmonic Orchestra";Mozart: Piano Concerto #10 In E Flat For 2 Pianos, K 365 - 1. Allegro;10:28
"Emil Gilels, Elena Gilels; Karl Böhm: Vienna Philharmonic Orchestra";Mozart: Piano Concerto #10 In E Flat For 2 Pianos, K 365 - 2. Andante;08:16
"Emil Gilels, Elena Gilels; Karl Böhm: Vienna Philharmonic Orchestra";Mozart: Piano Concerto #10 In E Flat For 2 Pianos, K 365 - 3. Rondeau: Allegro;07:10
"Emil Gilels; Karl Böhm: Vienna Philharmonic Orchestra";Mozart: Piano Concerto #27 In B Flat, K 595 - 1. Allegro;14:32
"Emil Gilels; Karl Böhm: Vienna Philharmonic Orchestra";Mozart: Piano Concerto #27 In B Flat, K 595 - 2. Larghetto;08:59
Emiliana Torrini;Jungle Drum;02:13
Emilíana Torrini;Gun;05:41
Emilio Estefan;Pennies In My Pocket;03:52
Eminem;51 days;02:29
Eminem;Abracadabra;05:07
Eminem;Ain't No Sunshine;03:36
Eminem;Alabama blues;07:19
Eminem;All In My Grill;04:28
Eminem;All or nothing;03:56
Eminem;I'm Back;05:10
Eminem;Susanna;05:56
Eminem;Sweet home alabama freestyl;01:47
Eminem;74-75;04:37
Eminem;Give Peace On Earth;03:20
Eminem;Just Lose It;03:31
Eminem;Mockingbird;04:12
Eminem;The Way I Am;04:49
Eminem;Without Me;04:53
Eminem;California Love;04:45
Eminem;Not Afraid;04:10
Eminem;Cold Wind Blows;05:03
Eminem;Space Bound;04:38
Eminem;So Bad;05:25
Eminem;Love the Way You Lie;04:23
Eminem;You're Never Over;05:05
Eminem;Try Again;04:39
Eminem;My Name Is;04:28
Eminem;Superman;05:50
Eminem;Stan (ft. Dido);06:43
Eminem;Kim;06:17
Eminem;Public Service Announcement 2000;00:25
Eminem;Kill You;04:24
Eminem;Paul (Skit);00:10
Eminem;Who Knew;03:47
Eminem;Steve Berman;00:53
Eminem;The Way I Am;04:50
Eminem;The Real Slim Shady;04:44
Eminem;I'm Back;05:10
Eminem;Marshall Mathers;05:20
Eminem;Ken Kaniff (Skit);01:01
Eminem;Drug Ballad;05:00
Eminem;Criminal;05:19
Eminem;All Out Of Love;04:05
Eminem Feat Dr. Dre;Bad Guys Always Die;04:40
Eminem Feat. Bizarre From D-12;Amityville;04:14
Eminem Feat. D12;Under The Influence;05:22
Eminem Feat. Dido;Stan;06:44
Eminem Feat. Dr. Dre, Snoop Dogg, Xzbit & Nate Dogg;Bitch Please II;04:48
Eminem Feat. RBX & Sticky Fingaz;Remember Me?;03:38
Eminem Featuring Dr. Dre;Guilty Conscience;03:19
Emmylou Harris;Blue Kentucky Girl;03:20
Enigma;The Child In Us;05:05
Enigma;Beyond The Invisible;05:04
Enigma;Gravity Of Love;03:57
Ennio Morricone;Spiel mir das Lied vom Tod: Once Upon A Time In The West;03:10
Enrico Ruggeri;Neve Al Sole;04:51
Enrique Iglesias;Rhythm Divine;03:30
Enrique Iglesias;Be with You;04:32
Enrique Iglesias;Bailamos;03:36
Enrique Iglesias, Luciano Pavarotti, Ars Canto G. Verdi, Cambodian And Tibetan Children's Choir, Orchestra Sinfonica Italiana & José Molina;Cielito Lindo;02:43
Enzo Gragnaniello Con Ornella Vanoni;Enzo Gragnaniello - Alberi;04:14
Enzo Jannacci;Senza Parole;04:03
Era;Era;03:15
Era;Ameno (Remix);03:48
Era;Cathar Rhythm;03:21
Era;Eden;04:01
Era;Kyrie;05:00
Era;Mother;04:59
Era;Avemano;04:15
Era;Enae Volare (Mezzo);04:30
Era;Mirror;03:58
Era;Ameno;04:19
Era;Sempire D'Amor;01:53
Era;After Time;03:35
Era;Impera;04:37
Era;Rain Or Shine;05:20
Era;Eternal Faith - Cheyenne;04:34
Era;Cathar Rhythm;03:19
Era;Ameno;04:14
Eric Burdon and the Animals;When I was young;03:03
Eric Burdon and the Animals;San Francisco Night;03:19
Eric clapton;Layla;07:06
Eric Clapton;Third Degree;04:49
Eric Clapton;Signe;03:14
Eric Clapton;Before You Accuse Me;03:44
Eric Clapton;Hey Hey;03:16
Eric Clapton;Tears In Heaven;04:36
Eric Clapton;Lonely Stranger;05:27
Eric Clapton;Nobody Knows You When You're Down & Out;03:49
Eric Clapton;Layla;04:46
Eric Clapton;Running On Faith;06:29
Eric Clapton;Walkin' Blues;03:37
Eric Clapton;Alberta;03:42
Eric Clapton;San Francisco Bay Blues;03:23
Eric Clapton;Malted Milk;03:36
Eric Clapton;Old Love;07:53
Eric Clapton;Rollin' And Tumblin';04:11
Eric Clapton, Luciano Pavarotti;Holy Mother;05:39
Erna Hemming;Il Proprio fine;04:41
Eros Ramazzotti;Se Bastasse Una Canzone;04:36
Erroll Garner;My Heart Stood Still;04:18
Erroll Garner;Teach Me Tonight;03:48
Estopa;Fumar ( Con Joaquin Sabina );03:29
Estopa;Vino Tinto;03:18
Estopa;Luna Lunera;03:49
Estopa;Destrangis in the night;03:27
Estopa;Partiendo La Pana;03:54
Estopa;Demonios;03:44
Estopa;Nasio Pa La Legría;03:27
Estopa;Te Vi Te Vi;04:08
Estopa;Vuelvo a las andadas;03:56
Estopa;Ke Pasa!?;03:19
Estopa;Mi primera cana;01:36
Estopa;Ojitos Rojos (Directo);04:23
Estopa;Lo Mato ( Con Peret );03:16
Estopa;La Raja De Tu Falda;03:23
Estopa;Como Camaron;03:22
Estopa;Cacho A Cacho;02:30
Estopa;Exiliado en el Lavabo;03:56
Estopa;Alegra esa cara;02:17
Estopa;Escucha Princesa;04:05
Estopa;Follarte;02:18
Estopa;Rumba Triste (inedito);02:34
Estopa;El Blade;03:09
Estopa;El Yonki (Directo);03:08
Eugenio Finardi;Amami Lara;04:01
Eurythmics;I Saved the World Today;03:48
Eva Cassidy;Songbird;03:43
Eva Cassidy;What a Wonderful World;04:20
"Eva Marton; Giuseppe Patanè: Munich Radio Orchestra";Puccini: La Bohème - Mi Chiamano Mimi;04:47
"Eva Marton; Giuseppe Patanè: Munich Radio Orchestra";Puccini: Madama Butterfly - Tu? Tu? Piccolo Iddio;02:24
"Eva Marton; Pinchas Steinberg: Munich Radio Orchestra";Catalani: La Wally - Ebben? Ne Andro Lontano;03:41
Evanesence;Bring Me To Life;03:57
"Evelyn Lear, Fritz Wunderlich, Etc.; Karl Böhm: Berlin Philharmonic Orchestra, RIAS Chamber Choir";Mozart: Die Zauberflöte, K 620 - Act 1: Dies Bildnis Ist Bezaubernd Schön;04:42
Exile;I Can't Get Close Enough;04:10
Fabian Buch;Bibi und Tina Lied (Neue Version);01:25
Faith Hill;Somewhere Over The Rainbow - Wizard of Oz;03:16
Falco;01 Der Kommissar (Original);03:50
Falco;Egoist;03:27
Falco;Helden Von Heute (Remix);04:07
Falco;Rock Me Amadeus;03:15
Falco;Brillantin' Brutal';03:50
Famara;Famasound;03:31
Fanta4;MfG;03:35
Farin Urlaub;Am Strand;02:46
Farin Urlaub;Ich Gehöre Nicht Dazu;03:17
Farin Urlaub;Dusche;04:08
Farin Urlaub;Phänomenal Egal;03:13
Farin Urlaub;Lieber Staat;02:49
Farin Urlaub;Wo ist das Problem?;01:36
Farin Urlaub;OK;04:19
Fat Joe;Whats Luv?;04:25
Fatblock Feat Ali;Every Day (Take Me Closer) (Radio Edit);02:56
Fats Domino;I'll Be Home for Christmas;04:08
Fats Domino;There Goes My Heart Again;02:27
Fats Domino;I'll Be Home For Christmas;04:04
Fear Factory;Invisible Wounds (The Suture Mix);03:36
feat. Kosher;02 Pressure;
Ferenc Fricsay: Berlin Philharmonic Orchestra;"Symphony No.9 in E minor, Op.95 ""From the New World"" - 1. Adagio - Allegro molto";10:04
Ferenc Fricsay: Berlin Philharmonic Orchestra;"Symphony No.9 in E minor, Op.95 ""From the New World"" - 2. Largo";13:59
Ferenc Fricsay: Berlin Philharmonic Orchestra;"Symphony No.9 in E minor, Op.95 ""From the New World"" - 3. Scherzo (Molto vivace)";08:18
Ferenc Fricsay: Berlin Philharmonic Orchestra;"Symphony No.9 in E minor, Op.95 ""From the New World"" - 4. Allegro con fuoco";12:06
Ferenc Fricsay: Berlin Philharmonic Orchestra;The Moldau (from Má Vlast);11:01
Ferenc Fricsay: Berlin Radio Symphony Orchestra;Les Préludes, symphonic poem No.3, S.97 (after Lamartine);16:43
Ferrante & Teicher;Sleigh Ride;02:17
Festliche Sinfonien;Mozart - Symphony 26, Molto Presto;02:38
Festliche Sinfonien;Schubert - Symphony 8, Unfisished, Allegro moderato;12:16
Festliche Sinfonien 2;Mendelson:Symph.4,A,Italian,Allegro Vivace;11:33
Festliche Sinfonien 2;E.Grieg:Peer Gynt-Suite1,OP46:Morning;03:53
Festliche Sinfonien 2;G.Maller:Symph.1,D,Titan,Kräftig Bewegt;08:13
Festliche Sinfonien 2;A.Dvorak:Symph.9,Em,OP.95,From The New World.;08:54
Festliche Sinfonien 2;J.Brams:Sym.3,F,OP.90.;07:18
Festliche Sinfonien 2;P.I.Tchaikovski:Sym.6,Bm,OP.74,Pathetique.;09:10
Festliche Sinfonien 2;N.R.Korsakov:Caprichio-Espagnol,OP.34.;15:06
Festliche Sinfonien 2;J.Haydn:Sym.96,D,Miracle.;03:40
Festliche Sinfonien 2;J.Haydn:Sym.104,D,Salomon.;05:07
Fettes Brot;Da Draussen;03:50
Fettes Brot;Schwule Mädchen;03:47
Fever Pitch;There She Goes;02:41
Fijuka;Ca Ca Caravan;04:03
Filous;Bicycle (feat. Klei);03:19
Fiorella Mannoia;Quello Che Le Donne Non Dicono;04:01
Fitzgerald and Armstrong;Don´t be that way;04:59
Fitzgerald and Armstrong;They all laughed;03:49
Fitzgerald and Armstrong;Autumn in New York;06:00
Fitzgerald and Armstrong;Stompi´n at savoy;05:14
Fitzgerald and Armstrong;I won´t dance;04:46
Fitzgerald and Armstrong;Gee baby ain´t I good to you;04:13
Fitzgerald and Armstrong;Let´s call the whole thing off;04:13
Fitzgerald and Armstrong;I´ve got my love to keep me...;03:12
Fitzgerald and Armstrong;I´m putting all my eggs in one;03:28
Fitzgerald and Armstrong;A fine romance;03:53
Fitzgerald and Armstrong;Love is here to stay;03:59
Fitzgerald and Armstrong;Learnin' the blues;07:12
Five;Everybody Get Up;03:04
Five;Five - Everybody Get Up (Radio Edit);03:05
Five Pointe 0;The Infinity;04:26
Flash and the Pan;Down Among the Dead Men;04:49
Flashdance;It's My Life;03:54
Flatt & Scruggs;Duelling Banjo's;03:03
Flatt & Scruggs;The Ballad Of Jed Clampett;02:03
Flogging Molly;These Exiled Years;05:17
Floorfilla;Anthem 3 (Radio Edit);03:38
Florence + The Machine;Wish That You Were Here (From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture);06:42
Florent Pagny;Une Place Pour Moi;03:46
Four Seasons;Santa Claus Is Coming To Town;01:50
Four weddings and a furneral;You´re the first, the last;03:23
Francesca Chiara;Ti Amo Che Strano;04:08
Franco et le TPOK Jazz;Likambo Ya Ngana;04:16
Frank mill;Music Box Dancer;01:24
Frank Sinatra;Fly Me to the Moon (feat. Count Basie & His Orchestra) [Remastered];02:27
Frank Sinatra;I Get A Kick Out Of You;02:55
Frank Sinatra;You Make Me Feel So Young;02:58
Frank Sinatra;Love And Marriage;02:40
Frank Sinatra;A Foggy Day (In London Town);02:40
Frank Sinatra;Old Devil Moon;03:58
Frank Sinatra;Makin' Whoopee;03:07
Frank Sinatra;You Brought A New Kind Of Love To Me;02:50
Frank Sinatra;How About You?;02:49
Frank Sinatra;I've Got You Under My Skin;02:41
Frank Sinatra;Someone To Watch Over Me;03:00
Frank Sinatra;Pennies From Heaven;02:45
Frank Sinatra;Too Marvelous For Words;02:31
Frank Sinatra;South Of The Border;02:53
Frank Sinatra;It Happened In Monterey;02:38
Frank Sinatra;You're Getting To Be A Habit With Me;02:20
Frankie goes to hollywood;Relax;03:57
Frankie Goes To Hollywood;The Power Of Love;05:27
Frankie Laine;Rawhide;02:01
Frankie Lymon;It's Christmas Once Again;02:23
Franz Ferdinand;Take Me Out;03:13
Franz Joseph Haydn;"Streighquartett Op. 76/3 ""Kaiserquartett""";08:19
Franz Schubert;"Symphonie Nr. 8 h-moll D. 759 ""Unvollendete"" Allegro moderato";13:41
Franz Schubert;"Symphonie Nr. 8 h-moll D. 759 ""Unvollendete"" Andante con moto";10:28
Franz Schubert;Symphonie Nr. 5 B-Dur D. 485: Allegro;04:32
Franz Schubert;Symphonie Nr. 5 B-Dur D. 485: Andante con moto;11:58
Franz Schubert;Symphonie Nr. 5 B-Dur D. 485: Menuetto, Trio: Allegro molto;04:57
Franz Schubert;Symphonie Nr. 5 B-Dur D. 485: Allegro vivace;05:48
Franz Schubert;Moment musical Nr. 3 f-moll D. 780;01:50
Franz Schubert;Deutscher Tanz C-Dur D. 90;05:34
Fred Ferguson & Graffiti;Spence for da Soul;03:36
Fred Foster, Janis Joplin & Kris Kristofferson;Me and Bobby McGee;04:29
Frederick Knight;I've Been Lonely For So Long - Frederick Knight;03:22
Frejlech;Swingin Tschiribim;04:01
Frejlech;Oj, Frejlech Is Mir;04:08
Frejlech;Rumenie;07:05
Frejlech;Frejlech Sol Sajn;02:49
Frejlech;Di Sun Wet Aruntergejn;03:08
Frejlech;Hajser Bulgar;03:13
Frejlech;Az Der Rebe Elimejlech;03:53
Frejlech;Sibn - Ferzik;02:21
Frejlech;Kischenever Schtikele;03:04
Frejlech;Nocturne - A Kalte Nacht;02:14
Frejlech;Papierosn;04:05
Frenzal Rhomb;Never Had So Much Fun;02:01
Freundeskreis;Anna (Long version);06:05
Freundeskreis;Anna (remix);03:44
Freundeskreis;Esperanto;04:23
Freundeskreis;A-N-N-A (Radio Version 97);03:47
Freundeskreis;Baby, Wenn Ich Down Bin;05:16
Friedrich Smetana;The Moldau From Má Vlast (My Country);12:03
FROZEN;along   Offi;04:02
Fugees;No Woman no Cry;04:21
Fugees;No Woman, No Cry;04:21
Fun lovin criminals;Scooby Snacks;03:02
Fünf sterne deluxe;5 Sterne Deluxe / Die Leude;03:59
G.I.B.;Lookin' For U;04:19
Gagu;Sternenhimmel;03:22
Galliano;Skunk Funk;05:12
Garbage;Supervixen;03:56
Garbage;Only Happy When It Rains;03:56
Garbage;As Heaven Is Wide;04:43
Garbage;Vow;04:30
Garbage;Stupid Girl;04:18
Garbage;Milk;03:53
Gare Du Nord;Pablo's Blues;05:02
Garfunkel - cecilia;Bridge Over Troubled Water;02:50
Garish;Dekorativ;04:43
Gene Autry;Rudolph The Red-Nosed Reindeer;03:14
Gene Autry;Here Comes Santa Claus;02:33
Genesis;Land Of Confusion;04:44
Genesis;Mama;06:46
Genevieve Spalding;Troublemaker;03:08
Genitorturers;Lecher Bitch;04:13
Georg Danzer;Jö Schau;03:42
Georg Danzer;Die Moritat Vom Frauenmörder Wurm;03:31
Georg Danzer;Weiße Pferde;04:37
Georg Danzer;Hupf In Gatsch;03:25
Georg Danzer;Schau Schazi;03:42
Georg Danzer;So A Dodl Mit Da Rodl;03:27
Georg Danzer;Sei Imma Hoflich!;03:26
Georg Danzer;Vorstadtcasanova (Originalversion);04:55
Georg Danzer;Doppelgänger;03:12
Georg Danzer;Tschik;03:43
Georg Danzer;Traurig Aber Wahr;04:02
Georg Danzer;Anplaggd;03:58
Georg Danzer;Zombieball;04:41
Georg Danzer;I Bin A Kniera (Die Goldene Kniescheibe);02:03
Georg Danzer;Griechenland;04:58
Georg Danzer;Auf Wos Die Fraun Ollas Schaun;03:06
Georg Danzer;Laß Mi Amoi No D' Sun Aufgeh Segn;03:15
Georg Danzer;Wie Woa Weihnachten;04:35
Georg Danzer;Jö Schau;03:42
Georg Danzer;Die Moritat Vom Frauenmörder Wurm;03:32
Georg Danzer;Weiße Pferde;04:37
Georg Danzer;Hupf In Gatsch;03:26
Georg Danzer;Schau Schazi;03:42
Georg Danzer;So A Dodl Mit Da Rodl;03:27
Georg Danzer;Sei Imma Höflich!;03:26
Georg Danzer;Vorstadtcasanova (Originalversion);04:55
Georg Danzer;Doppelgänger;03:12
Georg Danzer;Tschik;03:43
Georg Danzer;Traurig Aber Wahr;04:02
Georg Danzer;Zombieball;04:41
Georg Danzer;I Bina Kniera;02:03
Georg Danzer;Grichenland;04:58
Georg Danzer;Auf Wos Die Fraun Ollas Schaun;03:06
Georg Danzer;Lass Mi Amoi No d'Sunn Aufgeh' Segn;03:15
Georg Danzer;Wie Woa Weihnachten;04:35
George Frideric Handel;Semele - Where'er you walk;04:11
George Hamilton IV;Abilene;02:16
George Jones;The Grand Tour;03:06
George Jones;George Jones / The Tender Years;02:25
George McDonald Fraser;Die bärigen Piraten;02:40
George McDonald Fraser;Die tierischen Stadlmusikanten;04:59
George Michael;As;04:46
George Michael, Orchestra Sinfonica Italiana & José Molina;Americana: Brother, Can You Spare a Dime;04:21
Gerald Garcia;Paganini: Grand Sonata - Romanza;04:09
Gerald Garcia;Paganini: Grand Sonata - Andantino Variato;09:05
Geri Halliwell;Look At Me;03:35
German Tenors;Solo per te, Lucia;03:27
Get shorty;Green Onions;02:52
Giacomo Puccini;Tosca - E lucevan le stelle;04:22
Gianna Nannini;Amandoti;04:05
Gianna Nannini;Profumo;03:35
Gianna Nannini;Aria;03:48
Gianna Nannini;Una luce;03:17
Gianna Nannini;Meravigliosa creatura;03:07
Gianna Nannini;Notti Senza Cuore;04:03
Gianni Morandi;cosi vanno le cose;03:55
Gianni Morandi;I love you;03:21
Gigi;Bla Bla Bla;03:13
Gigi D'agostino;I'll Fly With You;07:14
Gigi D'Agostino;Gone With The Sin;07:36
Gigi D'Agostino;L'Amour Toujours;04:06
Gigi d'alessio;Como suena el corazon;04:18
Gigiola Cinquetti;Chiamalo amore;04:13
Gil Scott-Heron;Me and the Devil;03:30
Gin Blossoms;Learning the Hard Way;04:10
Gina Bachauer (pf), George Weldon / Royal Philharmonic Orchestra;Piano Concerto In A Minor, Op.16 - I: Allegro molto moderato;12:48
Gina Bachauer (pf), George Weldon / Royal Philharmonic Orchestra;II: Adagio;06:32
Gina Bachauer (pf), George Weldon / Royal Philharmonic Orchestra;III: Allegro moderato molto e marcato - Andante maestoso;10:03
Giora Feidman;Chiquilin De Bachin/Balado Por Un Locu;04:37
Giora Feidman;Oblivion;02:47
Giora Feidman;Adios Nonino;03:59
Giora Feidman;Andante Con Moto;02:14
Giora Feidman;Allegretto;01:39
Giora Feidman;Andante;02:20
Giora Feidman;Allegro;04:59
Giora Feidman;Adagio Religioso;05:19
Giora Feidman;Scherzo Con Muto;02:41
Giora Feidman;Presto Von Brio;05:30
Giora Feidman;Porgy And Bess-Suite;19:56
Giorgia;Io Come Te;04:03
Giorgio Moroder;Reach Out LOS Angeles;04:00
Giovanna Rizzo;I Numeri Da Venti A Cento;01:32
Giuni Russo;Morirò D'Amore;03:49
Glashaus;Haltet Die Welt An;04:10
Gloria Gaynor;I Will Survive;04:30
Gogo;Hey, Pippi Langstrumpf (Single Cut);03:21
Goldfinger;Open Your Eyes;02:49
Goldplay;Yellow;04:27
Gomez;Machismo;03:25
Gonzales;Let´s groove again;03:17
Gonzalo Curiel;Going Nowhere [CD-ROM Track];03:29
Good Charlotte;The day that I die;03:01
Good Charlotte;The Anthem;02:55
Good Charlotte;Predictable;03:13
Good Charlotte;Girls and Boys;03:05
Good Charlotte;I just wanna live;02:48
Good Charlotte;Movin On;03:29
Gorillaz;Feel Good Inc.;03:44
Gorillaz;Clint Eastwood;05:48
Gorillaz;Rock the House;04:11
Gotan Project;Pure Moods II;04:16
Gotan Project;Budha Bar III;08:17
Gotan Project;Épocha;04:28
Gotan Project;Chunga's Revenge;05:02
Gotan Project;Santa Maria;05:57
Gotan Project;Una Musica Brutal;04:11
Gotan Project;El Capitalismo Foraneo;05:59
Gotan Project;Last Tango In Paris;04:33
Governor Washington, Melkie Jean, Santana;Since Supernatural;04:32
Grace;Skin On Skin (Oakenfold And Osbourne Mix);03:33
Grace Jones;La Vie En Rose;07:25
Grace Jones;I Need A Man;03:21
Grace Jones;Do Or Die;03:22
Grace Jones;Private Life;05:11
Grace Jones;Love Is The Drug;06:03
Grace Jones;I've Seen That Face Before (Libertango);04:29
Grace Jones;Pull Up To The Bumper;03:38
